CMDLINE python tandem/asymmetric_tandem.py
MEM 625.765625 1445880241.5200
MEM 625.765625 1445880242.0418
MEM 625.765625 1445880242.5645
MEM 625.765625 1445880243.0861
MEM 625.765625 1445880243.6124
MEM 625.765625 1445880244.1359
MEM 625.765625 1445880244.6580
MEM 625.765625 1445880245.1841
MEM 625.765625 1445880245.7027
MEM 625.765625 1445880246.2241
MEM 625.765625 1445880246.7457
MEM 625.765625 1445880247.2630
MEM 625.765625 1445880247.7879
MEM 625.765625 1445880248.3065
MEM 625.765625 1445880248.8282
MEM 625.765625 1445880249.3494
MEM 625.765625 1445880249.8668
MEM 625.765625 1445880250.3922
MEM 625.765625 1445880250.9105
MEM 625.765625 1445880251.4360
MEM 625.765625 1445880251.9545
MEM 625.765625 1445880252.4798
MEM 625.765625 1445880253.0033
MEM 625.765625 1445880253.5251
MEM 625.765625 1445880254.0428
MEM 625.765625 1445880254.5679
MEM 625.765625 1445880255.0913
MEM 625.765625 1445880255.6134
MEM 625.765625 1445880256.1308
MEM 625.765625 1445880256.6563
MEM 625.765625 1445880257.1746
MEM 625.765625 1445880257.6998
MEM 625.765625 1445880258.2188
MEM 625.765625 1445880258.7337
MEM 625.765625 1445880259.2601
MEM 625.765625 1445880259.7779
MEM 625.765625 1445880260.3040
MEM 625.765625 1445880260.8257
MEM 625.765625 1445880261.3495
MEM 625.765625 1445880261.8644
MEM 625.765625 1445880262.3830
MEM 625.765625 1445880262.9065
MEM 625.765625 1445880263.4265
MEM 625.765625 1445880263.9501
MEM 625.765625 1445880264.4680
MEM 625.765625 1445880264.9858
MEM 625.765625 1445880265.5034
MEM 625.765625 1445880266.0183
MEM 625.765625 1445880266.5334
MEM 625.765625 1445880267.0503
MEM 625.765625 1445880267.5766
MEM 625.765625 1445880268.0956
MEM 625.765625 1445880268.6106
MEM 625.765625 1445880269.1362
MEM 625.765625 1445880269.6541
MEM 625.765625 1445880270.1801
MEM 625.765625 1445880270.6979
MEM 625.765625 1445880271.2203
MEM 625.765625 1445880271.7390
MEM 625.765625 1445880272.2569
MEM 625.765625 1445880272.7730
MEM 625.765625 1445880273.2960
MEM 625.765625 1445880273.8178
MEM 625.765625 1445880274.3354
MEM 625.765625 1445880274.8605
MEM 625.765625 1445880275.3840
MEM 625.765625 1445880275.9055
MEM 625.765625 1445880276.4234
MEM 625.765625 1445880276.9448
MEM 625.765625 1445880277.4602
MEM 625.765625 1445880277.9813
MEM 625.765625 1445880278.4991
MEM 625.765625 1445880279.0242
MEM 625.765625 1445880279.5476
MEM 625.765625 1445880280.0695
MEM 625.765625 1445880280.5920
MEM 625.765625 1445880281.1164
MEM 625.765625 1445880281.6406
MEM 625.765625 1445880282.1637
MEM 625.765625 1445880282.6855
MEM 625.765625 1445880283.2034
MEM 625.765625 1445880283.7285
MEM 625.765625 1445880284.2468
MEM 625.765625 1445880284.7722
MEM 625.765625 1445880285.2904
MEM 625.765625 1445880285.8162
MEM 625.765625 1445880286.3403
MEM 625.765625 1445880286.8622
MEM 625.765625 1445880287.3880
MEM 625.765625 1445880287.9129
MEM 625.765625 1445880288.4340
MEM 625.765625 1445880288.9561
MEM 625.765625 1445880289.4776
MEM 625.765625 1445880290.0001
MEM 625.765625 1445880290.5223
MEM 625.765625 1445880291.0447
MEM 625.765625 1445880291.5691
MEM 625.765625 1445880292.0932
MEM 625.765625 1445880292.6159
MEM 625.765625 1445880293.1403
MEM 625.765625 1445880293.6645
MEM 625.765625 1445880294.1878
MEM 625.765625 1445880294.7098
MEM 625.765625 1445880295.2277
MEM 625.765625 1445880295.7526
MEM 625.765625 1445880296.2677
MEM 625.765625 1445880296.7918
MEM 625.765625 1445880297.3135
MEM 625.765625 1445880297.8291
MEM 625.765625 1445880298.3471
MEM 625.765625 1445880298.8722
MEM 625.765625 1445880299.3908
MEM 625.765625 1445880299.9161
MEM 625.765625 1445880300.4351
MEM 625.765625 1445880300.9601
MEM 625.765625 1445880301.4819
MEM 625.765625 1445880302.0027
MEM 625.765625 1445880302.5253
MEM 625.765625 1445880303.0489
MEM 625.765625 1445880303.5718
MEM 625.765625 1445880304.0944
MEM 625.765625 1445880304.6204
MEM 625.765625 1445880305.1390
MEM 625.765625 1445880305.6643
MEM 625.765625 1445880306.1856
MEM 625.765625 1445880306.7093
MEM 625.765625 1445880307.2272
MEM 625.765625 1445880307.7486
MEM 625.765625 1445880308.2700
MEM 625.765625 1445880308.7962
MEM 625.765625 1445880309.3198
MEM 625.765625 1445880309.8416
MEM 625.765625 1445880310.3596
MEM 625.765625 1445880310.8844
MEM 625.765625 1445880311.4031
MEM 625.765625 1445880311.9284
MEM 625.765625 1445880312.4468
MEM 625.765625 1445880312.9687
MEM 625.765625 1445880313.4899
MEM 625.765625 1445880314.0162
MEM 625.765625 1445880314.5358
MEM 625.765625 1445880315.0601
MEM 625.765625 1445880315.5791
MEM 625.765625 1445880316.1007
MEM 625.765625 1445880316.6220
MEM 625.765625 1445880317.1479
MEM 625.765625 1445880317.6665
MEM 625.765625 1445880318.1921
MEM 625.765625 1445880318.7110
MEM 625.765625 1445880319.2324
MEM 625.765625 1445880319.7540
MEM 625.765625 1445880320.2694
MEM 625.765625 1445880320.7876
MEM 625.765625 1445880321.3127
MEM 625.765625 1445880321.8315
MEM 625.765625 1445880322.3568
MEM 625.765625 1445880322.8782
MEM 625.765625 1445880323.3991
MEM 625.765625 1445880323.9216
MEM 625.765625 1445880324.4452
MEM 625.765625 1445880324.9635
MEM 625.765625 1445880325.4897
MEM 625.765625 1445880326.0079
MEM 625.765625 1445880326.5329
MEM 625.765625 1445880327.0541
MEM 625.765625 1445880327.5776
MEM 625.765625 1445880328.0957
MEM 625.765625 1445880328.6208
